issue_number,title,gate_type,current_state,acceptance_criteria,criteria_met,criteria_remaining,evidence,blocker,owner,recommended_action,closure_allowed
109,SECURITY-INCIDENT — Production credential reset workflow,Security Incident,OPEN,All rotations complete + scanner enforced + owner closure,Partial,Credential rotation;Owner closure acknowledgment,Workflow removed (PR #110);Scanner enforced (PR #111);Incident documented (PR #112),Credential rotation not complete,snadaiapp-png,Complete rotations then close,No
101,DEVELOPMENT-GATE-01,Development Gate,OPEN,PR #102 merged + Dev Security green + OWASP terminal + Monitoring green + Branch inventory + No P0 blocker + Sprint 0 approved + ADR-039 documented,Partial,OWASP terminal;Credential rotation;Sprint 0 approval,Dev Security PASS (SHA 42d42e6);Monitoring 4/4 PASS;Scanner enforced;Branch disposition corrected,OWASP in progress;Rotation pending;Sprint 0 not approved,snadaiapp-png,Wait for OWASP + approve Sprint 0,No
59,gate: complete EXEC-PROMPT-032A authenticated session,Production Acceptance,OPEN,Two controlled tenants+Two identities+Both logins+/me binding+A→B rejection+B→A rejection+Refresh rotation+Replay rejection+Family revocation+Logout invalidation+Rollback evidence+No credential exposure,Partial,Rollback evidence;Two-tenant staging acceptance,Dev Security PASS (41 tests);PostgreSQL Testcontainers EXECUTED;Auth+Tenant+TokenRevocation tests pass,Staging not provisioned;Rollback not tested,snadaiapp-png,Keep open until production acceptance complete,No
53,EXEC-PROMPT-032A — Backend Authentication & Session Foundation,Production Gate,OPEN,Valid #59 closure+Production auth+Login+Refresh+Logout+/me+Password hashing+Replay protection+Session revocation+Security evidence,Partial,Valid #59 closure,Dev implementation VERIFIED;All auth tests pass;JWT+BCrypt+session_version implemented,Issue #59 not closed,Issue #59 dependency,snadaiapp-png,Keep open until #59 validly closed,No
31,PROD-GATE-02: Monitoring and Alerting,Production Gate,OPEN,Backend health monitoring+Frontend monitoring+Alert delivery+Alert dedup+Recovery notification+Cold-start handling+Timeout handling,Partial,Alert delivery verification;Recovery notification verification,Uptime PASS;Metrics PASS;Synthetic PASS;GitHub Issues auto-creation,No external alerting service,Owner budget for external monitoring,snadaiapp-png,Keep open until external alerting proven,No
29,EXEC-PROMPT-029: Production Readiness & Go-Live Gate Plan,Commercial Go-Live Gate,OPEN,Valid #59+Valid #53+Backup verification+Restore drill+OWASP success+HIGH=0+CRITICAL=0+Backend SHA+Frontend SHA+Monitoring+Alerting+Capacity+Rollback+Owner Go-Live approval,Partial,OWASP completion;Load test;Rollback drill;Owner Go-Live approval,All engineering gates progressing;Monitoring green,OWASP not terminal;No load test;No rollback drill;No owner Go-Live approval,Owner Go-Live decision,snadaiapp-png,Keep open until all production gates pass,No
30,PROD-GATE-01: Backup and Restore Readiness,Production Gate,OPEN,Backup verification+Restore drill+Backup retention+Backup encryption+Disaster recovery,Partial,Restore drill in staging,backup-verify workflow exists;Daily backups documented,No staging restore drill,Staging not provisioned,snadaiapp-png,Keep open until staging restore drill,No
32,PROD-GATE-03: Capacity and Performance Validation,Production Gate,OPEN,Load test+Capacity planning+Performance baseline+Resource monitoring,Partial,Load test execution,performance-baseline workflow exists;k6 script created,No load test executed,Staging not provisioned,snadaiapp-png,Keep open until load test passes,No
33,PROD-GATE-04: Reliability and Availability Readiness,Production Gate,OPEN,HA+SLA+Uptime+Fault tolerance+Cold-start mitigation,Partial,HA configuration;SLA documentation,Single-instance free tier;No HA,Cold starts on free tier,Owner plan upgrade,snadaiapp-png,Keep open until HA configured,No
34,PROD-GATE-05: Security Hardening,Production Gate,OPEN,OWASP+Pen test+CSP+HSTS+Rate limiting+Audit logging,Partial,OWASP completion;Pen test;Distributed rate limiting;Structured audit logging,Scanner enforced;Gitleaks clean;BCrypt+JWT+RBAC implemented,OWASP not terminal;No pen test;Caffeine rate limit;No structured audit,OWASP+external audit,snadaiapp-png,Keep open until security hardening complete,No
35,PROD-GATE-06: Compliance Data Residency and Auditability,Production Gate,OPEN,GDPR+DPA+Data residency+Audit trail+Compliance approval,Partial,GDPR assessment;DPA agreements;Compliance approval,Frankfurt region (EU);Backup retention documented,No GDPR assessment;No DPA;No compliance audit,Legal review required,snadaiapp-png,Keep open until compliance approved,No
36,PROD-GATE-07: Operational Readiness,Production Gate,OPEN,Runbooks+On-call+Incident response+Change management+Deployment process,Partial,On-call process;Incident response plan,6 runbooks documented;Manual deploy with SHA pinning;Break-glass policy documented,No on-call;No IR plan;No change management,Owner operational setup,snadaiapp-png,Keep open until operational readiness proven,No
37,PROD-GATE-08: Final Production Go/No-Go Review,Commercial Go-Live Gate,OPEN,All PROD-GATEs closed+Owner Go-Live approval+Final review,Partial,All PROD-GATEs closed;Owner Go-Live approval,Not started,All production gates incomplete,Owner final decision,snadaiapp-png,Keep open until all gates pass,No
2,EXEC-PROMPT-005 - Organization Application Service Layer,Feature,OPEN,Organization service implementation,Partial,Full implementation,Initial scaffolding exists,Feature not complete,Development priority,snadaiapp-png,Review for Sprint 0/1,No
