branch,head_sha,last_commit_date,ahead_by,behind_by,compare_status,associated_pr_numbers,associated_pr_states,merged_pr_numbers,changed_file_count,security_sensitive,deployment_dependency,classification,deletion_eligible,decision,decision_reason,owner_action
audit/EXEC-PROMPT-010-stage-closure,72f0aeb75488,2026-06-25T00:58:46Z,11,25,diverged,87,closed,,23,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,Ahead by 11 — requires commit-level proof before deletion,snadaiapp-png
chore/supabase-free-pilot,0fe42abf28a4,2026-06-20T14:22:16Z,4,127,diverged,25,closed,25,4,NO,YES,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 4 commits ahead,snadaiapp-png
docs/approve-pilot-integration,55e51a06ac65,2026-06-20T19:58:47Z,2,124,diverged,28,closed,28,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 2 commits ahead,snadaiapp-png
executor-23-master-execution-backlog,a6794b772afc,2026-06-20T22:45:40Z,4,117,diverged,44,closed,44,4,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 4 commits ahead,snadaiapp-png
executor-24-solution-architecture,27d00038b962,2026-06-20T23:04:56Z,1,115,diverged,,,,1,NO,NO,STALE — OWNER DECISION,NO,KEEP,"Stale branch, 1 ahead",snadaiapp-png
executor-24-solution-architecture-service-decomposition,1844ef62d9d8,2026-06-20T23:36:42Z,4,115,diverged,46,closed,46,4,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 4 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-005-organization-service,53d4be2050e2,2026-06-18T13:49:14Z,1,265,diverged,3,closed,,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"1 unique commits, no PR",snadaiapp-png
feat/EXEC-PROMPT-018A-frontend-foundation,5eb20adb31aa,2026-06-18T23:19:16Z,42,245,diverged,"6,5","closed,closed",,25,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"42 unique commits, no PR",snadaiapp-png
feat/EXEC-PROMPT-027-backend-hosting-readiness,143f0097453f,2026-06-20T00:41:19Z,5,129,diverged,21,closed,21,18,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 5 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-028-backend-production-release,fa9d535ca2db,2026-06-20T09:06:18Z,12,128,diverged,"24,23","closed,closed",23,23,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 12 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-029-frontend-backend-integration-foundation,0b0f7e3cb583,2026-06-21T03:17:01Z,35,112,diverged,48,closed,48,19,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 35 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-029-production-readiness,05b372fa0700,2026-06-20T20:31:28Z,3,123,diverged,38,closed,38,3,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 3 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-031-users-memberships-live-integration,c55c7e76a623,2026-06-21T10:24:08Z,1,110,diverged,50,closed,50,13,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-032-frontend-auth-tenant-context,97456ccb6a00,2026-06-22T12:06:56Z,1,94,diverged,61,closed,61,10,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
feat/EXEC-PROMPT-032A-backend-auth-session,7a886ebc4fe8,2026-06-21T21:28:57Z,56,106,diverged,54,closed,54,64,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 56 commits ahead,snadaiapp-png
feat/PROD-GATE-01-restore-validation,4ca1e75028f1,2026-06-20T20:37:00Z,1,122,diverged,39,closed,39,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
feat/PROD-GATE-02-monitoring-alerting,38157a361db9,2026-06-20T20:41:18Z,2,122,diverged,40,closed,40,2,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 2 commits ahead,snadaiapp-png
feat/PROD-GATE-03-performance-baseline,5d37ed2e34c6,2026-06-20T20:45:11Z,3,121,diverged,41,closed,41,3,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 3 commits ahead,snadaiapp-png
feat/auth-tenant-production-acceptance,a4bedb106a74,2026-06-22T10:08:08Z,2,96,diverged,60,closed,,2,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,"2 unique commits, no PR",snadaiapp-png
fix/DEFECT-019-027-frontend-hardening,705bcbc9cf4a,2026-06-24T23:35:41Z,1,25,diverged,85,closed,,5,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,Ahead by 1 — requires commit-level proof before deletion,snadaiapp-png
fix/DEFECT-029-cookie-samesite-default,4df957709733,2026-06-24T23:37:04Z,1,25,diverged,86,closed,,3,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,Ahead by 1 — requires commit-level proof before deletion,snadaiapp-png
fix/EXEC-FIX-031A-uncached-backend-health,db88a68db6b2,2026-06-21T11:29:36Z,1,109,diverged,51,closed,51,6,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-002-defect-011-cors-allowlist,cbab491a9a31,2026-06-24T11:33:34Z,8,58,diverged,70,closed,70,35,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 8 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-004-defect-013-secure-session-storage,90f29086d1ff,2026-06-24T11:50:50Z,1,57,diverged,71,closed,71,3,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
